size,reclen,write,read
4000000,1000,,
4000000,1000,,
4000000,1000,,
4000000,1000,,
4000000,1000,,
4000000,1000,,
4000000,1000,,
4000000,1000,,
4000000,1000,,
4000000,1000,,
